누가 시녀장을 회귀시켰는가,소소리닻별,로판,https://novel.naver.com//webnovel/list?novelId=1113877,"
“어머니가 예전에 주신 건데...... 소중한 사람이 생기면 꼭 전하라고 하셨어.”

2황자 노아가 얼굴을 붉히며 말했다. 에이미는 자신의 손바닥에 고이 올려진 보석을 보며 침음을 삼켰다.

‘너는 또다시 이것을 나에게 주는구나.’

그녀는 전생에서도 얻었던 그 보석 덕분에 자신이 회귀할 수 있었다고 믿었다.

“소중히 간직해오신 거잖아요. 그런 귀한 걸 저에게 주신다고요?”

노아가 눈을 깜박이다 환하게 웃었다.

“나에게 소중한 사람은 에이미뿐인걸.”

마치 수줍은 고백과도 같은 그 말을 듣는 순간, 에이미의 얼굴이 파삭 구겨졌다.

“아, 그건 좀.”


에이미는 자신을 사랑한다는 황태자를 충심을 다해 모시다 배신을 당해 비참하게 죽은 뒤 회귀한다.
복수심에 불탄 그녀는 황태자와 대척점에 있는 2황자 노아에게 붙어 충실한 시녀장으로서 그를 키우고 가르친다.

그런데... 회귀 당시 에이미가 지니고 있던 마도구는 세 개였음이 밝혀진다.
누가 준 마도구가 그녀를 회귀시켰을까?


“에이미, 이렇게 하면 돼?”
“......네.”
“에이미, 나 소드마스터가 됐어!”
“세상에.”

벌써요? 너 이제 막 성년 됐는데요?
무섭게 발전하는 노아의 속도에 에이미는 현기증마저 느꼈다.
그런데 과속도 정도껏 해야지......
노아는 성인이 되자마자 그녀에게 달려와 무릎을 꿇는데.

“에이미가 원하는 대로 다 했어. 그러니까 이제 우리 결혼하는 거지?”
“......네?”

분명 에이미의 인생은 복수물이었는데, 정신을 차려 보니 연애물이 되어 있었다!
더보기
",135,800000,9.93,201,490,4
죽은 악녀는 남주의 아이를 가졌다,광산김파도,인기상승-정주행많은-많이보는로판-로판,https://novel.naver.com//webnovel/list?novelId=1136676,"
‘세상에! 킬리온은 다 알고 있었어! 알면서 모른 척했어!’

편지를 펼친 베로니아의 손이 바들바들 떨렸다. 
그녀의 진짜 정체를 알면서도 모른 척 연기했다는 킬리온.
다시 만난 순간부터 저는 그의 손바닥 위에 있었다는 사실에 목덜미가 서늘해졌다.  

베로니아는 아랫입술을 잘근잘근 씹으며 짐을 챙겼다.
한시라도 빨리 이곳을 떠나야 했다. 

그의 눈과 귀가 닿지 않는 곳으로. 그의 손이 뻗치지 않는 곳으로.
그런데 과연 그런 곳이 있을까?

똑똑똑, 노크 소리와 함께 문이 벌컥 열렸다.
킬리온이었다. 

“니아?”

그녀의 가명을 부르는 목소리는 더없이 부드러웠다. 
천천히 다가온 그가 테이블 위 편지를 봤다.

“이런….”

곧게 뻗었던 새까만 눈썹이 꿈틀거렸다.
겨울 바다처럼 시린 청안이 그녀를 뚫을 듯 쳐다봤다. 

“저는 들켜 버렸군요. 베로니아 황녀 전하.""
“…날 보내 줘요.”
“보내 줄 생각이었다면 애초에 찾아오지도 않았습니다, 전하.”

그녀는 지푸라기라도 잡는 심정으로 아이의 이름을 입에 올렸다. 

“제디엘을 생각해서라도 보내 줘요. 제발….”
“…제디엘을 생각해서 보내 드리지 못하는 겁니다, 전하.”

남자의 미간이 단번에 좁아졌다. 

“제디엘은… 전하와 제 아이이지 않습니까?”
“그게 아….”
“아니라고 거짓말 하실 생각은 접어 두십시오, 전하.”

커다란 손이 그녀를 향해 뻗어 왔다.
더보기
",141,570000,9.8,226,775,3
오아뉴-멱살 한번 잡힙시다,뉴럭이,로맨스,https://novel.naver.com//webnovel/list?novelId=941329,"
“나쁜 놈들은 나한테 멱살 한 번씩 잡혀야지!” 대중을 분노케 하는 역대급 나쁜 놈들의 멱살을 잡으며 특종 기자로 승승장구하던 서정원. 지성, 미모, 재벌 3세 남편까지 완벽한 인생이었다, 남편의 내연녀가 죽은 채 나타나기 전까지. 내연녀의 존재만으로도 기가 막히는데 살인범으로 의심받기 시작한다. 이 난관을 헤쳐나가기 위해 필요한 건 바로 지저스! 얼결에 파트너가 된 형사 태헌과 진실을 파헤치기 시작한 정원. 과연 절체절명의 위기에서 벗어날 수 있을까?
더보기
",74,220000,9.87,428,621,14
나 홀로 지배자,강판,현판,https://novel.naver.com//webnovel/list?novelId=970358,"
멸망을 앞두고 태상은 알 수 없는 힘에 의해 이세계로 빨려 들어간다. 
수십 년 동안 개고생을 한 끝에, 마침내 대륙을 평정하고 지배자가 된 태상. 
이제 좀 편하게 살아보려는 찰나에 갑자기 지구로 귀환한다. 

헌터의 시대. 바로 그 시대로 한 대륙의 지배자였던 태상이 지구에 귀환한다. 

“이런! 다시 시작이야? 그래. 어디 해보자고.”
더보기
",213,2210000,9.81,346,645,10
적국 황제의 침실로 잡혀갔다,유리처럼,궁중로판-소유욕/집착-운명적만남-황녀-황제-달달한-술술읽히는-로판,https://novel.naver.com//webnovel/list?novelId=1127602,"
입덕 부정기 거의 제로, 바로 휘감겨 물 마시듯 유혹하는 황제.

*

서탑 그림자 황녀, 패트리샤.

신탁받고 태어난 쌍생아, 태양을 품은 여아 패트리샤. 달의 기운을 품은 남아 패트릭. 

성별이 바뀌었다면 황제에 의해 죽었을 몸.

선천적으로 약한 패트릭 대신 은빛 갑옷을 입고 전쟁광 황제를 따라 전쟁 참관을 했다.

선황후를 독살한 희대의 악녀, 황비 파밀라의 계략으로 카르시크와의 전쟁을 지휘한 그녀, 적국 황제의 침실로 잡혀갔다.

“넌 누구냐?”
“죽여라.”
“갑옷을 벗겨라.”
“나는 타네 제국의 황녀다, 예를 갖춰라. 아니면 죽여라.”
“왜 자꾸 죽이래, 누가 죽인다고 했나?” 
“……내 침실에 재워라.”

그리고 황제의 얼굴이 확, 붉어졌다.

*

“누, 누구세요?”
“나? 카르시크 황제, 그대의 남편이지.”

유년부터 하르첸과의 결혼을 꿈꿨던 공녀. 율리아의 암살 지시로 흔족 사냥꾼의 독화살에 맞아 기억을 잃은 패트리샤. 

“전 폐하에 대한 기억이 없는데 이러시는 거 당황스러워요, 예를 갖춰 주세요.”

“우린 초야도 보낸 사이야. 그건 즉 둘이 할 거 다 했다는 말이지. 기억에 없다고 없던 일이 되는 건 아니고.”

천상의 조각상 같은 비현실적인 황제의 얼굴이 그녀 바로 앞으로 다가왔다. 코가 닿을 듯했다. 

“아까 하던 거, 이어서 할까?”
“하지 마세요, 전 폐하가 기억나지 않아요.”

“그래, 나를 다 잊었다고…… 다시, 처음부터 유혹할게. 네가 전쟁을 지휘한 수장이건 나를 기억하건 못 하건 내 운명인 건 분명하니깐.”

퇴폐미 짙은 녹안에 그녀의 영혼이 빨려들 것 같았다.
더보기
",133,520000,10.0,238,667,5
내 안에 축신강림,강로이,현판,https://novel.naver.com//webnovel/list?novelId=912899,"
인테르치오날레의 황제.
아버지의 죽음 이후 갖은 기행을 일삼다 37세 나이에 변방 리그로까지 내몰렸다.
그런데....

""내가 호세 카푸라고?""
  
아서는 어처구니가 없었다. 
정신을 차린 순간, 인테르치오날레의 황제였던 또 다른 기억이 머릿속에 스며들었으니까.
더보기
",231,1870000,9.64,332,506,20
원작 속 악녀와 남주를 이어 주었더니,현이경,첫사랑-나이차커플-계약관계-소유욕/집착-능력남주-환생-오해물-로판,https://novel.naver.com//webnovel/list?novelId=1117096,"
“행복해야 해. 알았지?”

자작 가문의 하나뿐인 딸 헤레나 로센티아.
18살이 되기 전까지 평범한 삶을 살아왔던 그녀는
어느 날 꿈을 통해 자신이 로판 소설 속에서 환생했다는 걸 깨닫는다.
이 세계의 진실을 안 그녀가 가장 먼저 한 행동은
바로 원작 속 악녀인 자신의 친구와 남주를 이어 주는 일이었다.

‘정말 성공할 줄이야.’

원작의 결말을 성공적으로 바꾼 헤레나는 수도를 떠나
시골에서 조용한 삶을 살 수 있을 거라 생각하며
기쁨의 눈물을 흘리고 그런 그녀의 앞을 한 남자가 다가선다.

“……왜 우는 거지?”

원작 속 악녀의 오빠이자 그녀의 오랜 첫사랑.
라베리온 공작가의 가주 카에른 라베리온.
그간 단 한 번도 따스한 곁을 내어주지 않았던
그가 오늘은 어딘가 달라 보인다.

“내 약혼자가 지금 왜 울고 있는 건지 물었어.”

과연 그녀는 사랑도, 약혼자도 버리고
원작에서 벗어난 새로운 삶을 살 수 있을까?
더보기
",120,440000,9.91,218,469,4
곧 사라질 악역을 유혹해버렸다,디클레어,술술읽히는-달달한-두근두근-유혹-소유욕/집착-매력녀-직진녀-매력남-능글남-쌍방구원-로판,https://novel.naver.com//webnovel/list?novelId=1125107,"
죽는 순간 알았다. 이곳이 소설 속이라는 것과 그녀가 한 줄짜리 엑스트라라는 것을.

어째선지 다시 살아난 그녀는 결심했다.

원작이고 나발이고, 나부터 살고 보자!

원작 시작 전에 사라지는 악역. 그것도 잔인한 그의 광증이 시한부인 내 약이 된다는 걸 알게 되었는데……

푸른 안광이 당장이라도 찢어발길 듯 빛났다.

“죽고 싶은가 보군.”

‘아니요. 살고 싶은데요.’

당장 쓰러질 거 같은 몸. 덜덜 떨리는 손으로 남자의 목을 끌어안았다.

“하아…….”

미쳤다. 미쳤어. 이 남자의 숨결조차 상쾌하다고 하면 너무 변태 같은가.

입가에 흐를 거 같은 침을 슥 닦으며 몽롱한 눈으로 남자를 올려다보았다.

넘쳐흐르는 광증에, 곧 사라질 악역이라는 것이 믿기지 않을 만큼 잘생긴 외모까지.

응, 합격. 이보다 더 좋을 순 없다.

적당히 붙어있다가 집에 돌아가야지.

.
.
.

그러나 인생은 계획대로 되지 않는 법이었다.

***

냉혹하기만 하던 그가 바뀐 것은 언제부터일까.
두꺼운 철벽은 어디다 버리고 요망하게 굴기 시작했다.

“우리 약혼할까?”

그녀의 손을 들어 올린 그가 그녀의 손바닥 깊이 입 맞추며 말했다.

“왜, 왜 이래요.”

“날 두고 어딜 가려고.”

살짝 고개를 비튼 그가 미소 지었다.
그 야릇한 미소에 혼이 나가버릴 거 같았다.

순식간에 밀착된 몸에 얼굴이 붉어지자 그의 입꼬리가 짓궂게 올라갔다. 당신, 나랑 같은 엑스트라 맞아?

왜 남주처럼 행동해!

그저 치료제인 광증이 필요했을 뿐인데,
원작 시작 전 사라지는 악역과 단단히 엮여버렸다.
더보기
",211,1600000,9.93,307,745,10
카피 헌터 도형석,이락,현판,https://novel.naver.com//webnovel/list?novelId=1046680,"
스킬의 등급이 곧 헌터의 등급이 되는 시대. 
그런데... 내가 가진 스킬이 남의 스킬을 베끼는 거라고?!
더보기
",287,3000000,9.9,267,478,4
1000일의 매니저,도원경,현판,https://novel.naver.com//webnovel/list?novelId=1080001,"
시한부 선고를 받은 십 년 차 매니저 원세강.
그에게 남은 생은 단 삼 년.
믿었던 회사와 배우에게 배신당한 그에게 완벽한 그녀가 찾아온다.
더보기
",260,2290000,9.97,275,485,13
